Logging time,IoU/train,PixelwiseAcc/train,Loss/train,IoU/val,PixelwiseAcc/val,Loss/val,epoch_time_consume
2024-05-02 13:55:25.123372,0.7069109082,0.8152536154,0.1265606284,,,,0:01:15.101057
2024-05-02 13:56:22.837362,0.8295053244,0.9044910073,0.0425135531,,,,0:00:57.705370
2024-05-02 13:57:20.679010,0.8504070044,0.9177932739,0.0351921469,,,,0:00:57.835691
2024-05-02 13:58:17.594766,0.8513892889,0.9182258844,0.0349195451,,,,0:00:56.911439
2024-05-02 14:00:10.492813,0.8509647846,0.9180554748,0.0349569395,0.8269237876,0.9035876691,0.0446307920,0:01:52.894447
2024-05-02 14:01:08.768847,0.8501936197,0.9176303744,0.0351900980,,,,0:00:58.261586
2024-05-02 14:02:05.282211,0.8465530872,0.9153443575,0.0362903476,,,,0:00:56.509732
2024-05-02 14:03:03.334879,0.8462899923,0.9153623581,0.0363267884,,,,0:00:58.049012
2024-05-02 14:04:00.921844,0.8440570235,0.9137323499,0.0368705951,,,,0:00:57.583309
2024-05-02 14:05:34.229073,0.8409836888,0.9119393826,0.0378073454,0.8288467675,0.9029243737,0.0419928450,0:01:33.303814
2024-05-02 14:06:31.570745,0.8404706717,0.9117612839,0.0378482267,,,,0:00:57.327480
2024-05-02 14:07:29.882104,0.8421031833,0.9128167033,0.0375500992,,,,0:00:58.307645
2024-05-02 14:08:28.867366,0.8395646214,0.9110494852,0.0380660705,,,,0:00:58.981392
2024-05-02 14:09:26.075778,0.8454629779,0.9147509933,0.0367125273,,,,0:00:57.205598
2024-05-02 14:11:00.319929,0.8450589776,0.9145024419,0.0367693193,0.8461509049,0.9149521738,0.0378619125,0:01:34.240049
2024-05-02 14:11:59.101209,0.8462495208,0.9152809381,0.0365219750,,,,0:00:58.767312
2024-05-02 14:12:57.000163,0.8482297659,0.9164421558,0.0359662920,,,,0:00:57.895203
2024-05-02 14:13:55.281751,0.8500486612,0.9174981117,0.0352744050,,,,0:00:58.277821
2024-05-02 14:14:53.018061,0.8514710665,0.9183770418,0.0349443927,,,,0:00:57.732477
2024-05-02 14:16:26.143673,0.8541501760,0.9200326800,0.0345595181,0.8179187030,0.8974791318,0.0440247348,0:01:33.121747
2024-05-02 14:17:23.200084,0.8536828756,0.9197692275,0.0343008377,,,,0:00:57.051933
2024-05-02 14:18:19.971740,0.8558185101,0.9211218357,0.0338762365,,,,0:00:56.767764
2024-05-02 14:19:17.928084,0.8589642048,0.9229457378,0.0329612680,,,,0:00:57.952310
2024-05-02 14:20:16.011866,0.8605684638,0.9238968492,0.0326190963,,,,0:00:58.080138
2024-05-02 14:21:50.208150,0.8635002375,0.9256199598,0.0318260193,0.8545555621,0.9203839749,0.0366202043,0:01:34.192637
2024-05-02 14:22:48.344487,0.8648475409,0.9263857603,0.0314592794,,,,0:00:58.120847
2024-05-02 14:23:45.373674,0.8659918308,0.9271325469,0.0312155467,,,,0:00:57.024603
2024-05-02 14:24:45.209253,0.8683518767,0.9286100268,0.0304731149,,,,0:00:59.831656
2024-05-02 14:25:44.336314,0.8708940744,0.9300478697,0.0298177246,,,,0:00:59.122037
2024-05-02 14:27:21.070744,0.8719754815,0.9306472540,0.0296725780,0.8473203033,0.9156659693,0.0382567337,0:01:36.730395
2024-05-02 14:28:21.286502,0.8740285039,0.9318611026,0.0289904885,,,,0:01:00.210781
2024-05-02 14:29:19.831367,0.8765149713,0.9332920909,0.0283514634,,,,0:00:58.540972
2024-05-02 14:30:17.012193,0.8775215745,0.9339256287,0.0280836578,,,,0:00:57.176630
2024-05-02 14:31:15.481271,0.8786671758,0.9346331954,0.0277719051,,,,0:00:58.465156
2024-05-02 14:32:51.884659,0.8806982636,0.9358485341,0.0272984374,0.8591507971,0.9228071421,0.0347201638,0:01:36.399857
2024-05-02 14:33:48.735633,0.8817129731,0.9363301396,0.0269674435,,,,0:00:56.836928
2024-05-02 14:34:46.414774,0.8832990527,0.9373066425,0.0266331658,,,,0:00:57.674363
2024-05-02 14:35:43.526424,0.8846160769,0.9380671382,0.0262397602,,,,0:00:57.106741
2024-05-02 14:36:41.692411,0.8858171701,0.9387834668,0.0258977041,,,,0:00:58.161756
2024-05-02 14:38:15.438201,0.8862764239,0.9390141964,0.0257317554,0.8593072742,0.9227864742,0.0357135097,0:01:33.741103
2024-05-02 14:39:11.840179,0.8871376514,0.9395082593,0.0257614832,,,,0:00:56.387031
2024-05-02 14:40:09.232455,0.8876833320,0.9398245811,0.0254425183,,,,0:00:57.388811
2024-05-02 14:41:07.390512,0.8886131048,0.9403591752,0.0251918472,,,,0:00:58.154718
2024-05-02 14:42:05.447094,0.8891090751,0.9406547546,0.0249931440,,,,0:00:58.052799
2024-05-02 14:43:40.486870,0.8892232180,0.9407916069,0.0249465611,0.8619662225,0.9244645387,0.0345741855,0:01:35.037507
2024-05-02 14:44:39.725701,0.8900864720,0.9412270188,0.0247528516,,,,0:00:59.225031
2024-05-02 14:45:37.605157,0.8904632330,0.9414465427,0.0247932728,,,,0:00:57.875641
2024-05-02 14:46:36.260262,0.8907114863,0.9415546656,0.0247444008,,,,0:00:58.651396
2024-05-02 14:47:32.302446,0.8901243210,0.9412078857,0.0248361249,,,,0:00:56.038148
2024-05-02 14:49:07.179255,0.8908134103,0.9416297078,0.0245877728,0.8615141958,0.9241446853,0.0349189509,0:01:34.873227
