Logging time,IoU/train,PixelwiseAcc/train,Loss/train,IoU/val,PixelwiseAcc/val,Loss/val,epoch_time_consume
2024-05-02 14:51:33.765068,0.8639546633,0.9259577394,0.0317786299,,,,0:02:14.392815
2024-05-02 14:53:19.172936,0.8737208843,0.9317981601,0.0289576109,,,,0:01:45.398756
2024-05-02 14:55:04.155989,0.8732023239,0.9314678907,0.0291098915,,,,0:01:44.978969
2024-05-02 14:56:45.207321,0.8707708716,0.9300307631,0.0297992323,,,,0:01:41.047617
2024-05-02 14:59:26.958430,0.8660698533,0.9272598624,0.0310557391,0.8536779135,0.9194387496,0.0356690846,0:02:41.746837
2024-05-02 15:01:08.498826,0.8637551069,0.9258937836,0.0316326283,,,,0:01:41.517426
2024-05-02 15:02:50.061905,0.8633894920,0.9256699681,0.0319041945,,,,0:01:41.559472
2024-05-02 15:04:36.332192,0.8678112626,0.9283621311,0.0307450779,,,,0:01:46.265949
2024-05-02 15:06:18.998374,0.8675213456,0.9281846285,0.0306651779,,,,0:01:42.662285
2024-05-02 15:08:36.798021,0.8703080416,0.9297342300,0.0299423374,0.8513153046,0.9176575840,0.0365683045,0:02:17.795614
2024-05-02 15:10:20.110172,0.8731061816,0.9314278960,0.0293610990,,,,0:01:43.306751
2024-05-02 15:12:03.094590,0.8759271502,0.9330431223,0.0285399854,,,,0:01:42.979509
2024-05-02 15:13:46.552246,0.8773691058,0.9338372350,0.0281945765,,,,0:01:43.454014
2024-05-02 15:15:28.830363,0.8804971576,0.9357203245,0.0273404624,,,,0:01:42.274167
2024-05-02 15:17:48.110655,0.8821578026,0.9367333651,0.0268463101,0.8597162515,0.9230618477,0.0357964057,0:02:19.276534
2024-05-02 15:19:30.983690,0.8851953149,0.9384098053,0.0261554439,,,,0:01:42.859037
2024-05-02 15:21:13.691677,0.8870397210,0.9394531250,0.0256488845,,,,0:01:42.701509
2024-05-02 15:22:57.657866,0.8891961575,0.9407116771,0.0251376256,,,,0:01:43.962053
2024-05-02 15:24:39.945433,0.8906911016,0.9415680766,0.0247037895,,,,0:01:42.283446
2024-05-02 15:26:57.628675,0.8917979002,0.9421841502,0.0243733656,0.8584215343,0.9223178774,0.0363479536,0:02:17.679247
2024-05-02 15:28:41.202264,0.8932887912,0.9430688620,0.0239380244,,,,0:01:43.568587
2024-05-02 15:30:24.402871,0.8937785029,0.9433204532,0.0239309669,,,,0:01:43.196953
2024-05-02 15:32:07.571809,0.8948327899,0.9439600706,0.0235905275,,,,0:01:43.164667
2024-05-02 15:33:49.815694,0.8950421214,0.9440385103,0.0235643592,,,,0:01:42.234386
2024-05-02 15:36:07.025338,0.8954771161,0.9442875981,0.0233870894,0.8589833826,0.9225142002,0.0364992386,0:02:17.205779
